/home/hyperpotato/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/home/hyperpotato/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/home/hyperpotato/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/home/hyperpotato/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/home/hyperpotato/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=12, episodic_return=[10.137043]
global_step=33, episodic_return=[24.455343]
global_step=77, episodic_return=[31.36806]
global_step=97, episodic_return=[3.940759]
global_step=113, episodic_return=[10.493657]
global_step=145, episodic_return=[26.426783]
global_step=167, episodic_return=[9.872292]
global_step=208, episodic_return=[31.882452]
global_step=224, episodic_return=[16.432081]
global_step=243, episodic_return=[19.854567]
global_step=258, episodic_return=[12.445809]
global_step=277, episodic_return=[18.716702]
global_step=288, episodic_return=[7.640363]
global_step=328, episodic_return=[36.74399]
global_step=383, episodic_return=[49.284042]
global_step=396, episodic_return=[11.52337]
global_step=412, episodic_return=[13.856421]
global_step=426, episodic_return=[12.927986]
global_step=446, episodic_return=[16.879007]
global_step=464, episodic_return=[10.929363]
global_step=487, episodic_return=[17.046625]
global_step=509, episodic_return=[21.48278]
global_step=524, episodic_return=[10.287947]
global_step=538, episodic_return=[11.91034]
global_step=566, episodic_return=[15.661605]
global_step=578, episodic_return=[10.260446]
global_step=596, episodic_return=[16.688332]
global_step=625, episodic_return=[20.149124]
global_step=651, episodic_return=[22.113352]
global_step=671, episodic_return=[12.862372]
global_step=687, episodic_return=[14.212564]
global_step=705, episodic_return=[9.50812]
global_step=720, episodic_return=[13.822654]
global_step=747, episodic_return=[31.51763]
global_step=765, episodic_return=[19.333933]
global_step=780, episodic_return=[10.275873]
global_step=792, episodic_return=[9.148444]
global_step=821, episodic_return=[11.211338]
global_step=845, episodic_return=[13.114073]
global_step=866, episodic_return=[19.670155]
global_step=882, episodic_return=[8.44821]
global_step=892, episodic_return=[8.7670965]
global_step=910, episodic_return=[16.521461]
global_step=923, episodic_return=[11.3889475]
global_step=944, episodic_return=[5.0303926]
global_step=967, episodic_return=[13.876725]
global_step=976, episodic_return=[7.1093597]
global_step=986, episodic_return=[8.385042]
global_step=1001, episodic_return=[12.603797]
